Family,Country,Manufac.,Payload (kg),"Cost (US$, millions)",Launches reaching…,Status,Date of flight,Notes,Refs
Epsilon,Japan,IHI Corporation,"7003120000000000000♠1,200",--,--,--,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,Active,2013,,,[46][47]
Falcon 1,USA,SpaceX,7002420000000000000♠420[48],--,--,7000790000000000000♠7.9[48],7000500000000000000♠5[49],7000400000000000000♠4[48],7000200000000000000♠2[48],7000200000000000000♠2[49],Retired[48],2006,2009,,
"Falcon 9 v1.0, v1.1, FT, B5",USA,SpaceX,"7004228000000000000♠22,800","7003830000000000000♠8,300",--,7001612000000000000♠61.2,7001660000000000000♠66,7001650000000000000♠65,7001650000000000000♠65,7001650000000000000♠65,Active,2010,,"Upgrade to version 1.1 in 2013; upgrade to version FT in 2015 Launcher of Dragon capsule. One flight put primary but not secondary payload into correct orbit,[50] one rocket and payload were destroyed before launch in preparation for static fire[51] and thus is not counted. Falcon 9 Block 5 first launched 11th May 2018 with Bangabandhu 1, the first fully sized Bangladesh satellite.",[52][53]
Falcon Heavy,USA,SpaceX,"7004638000000000000♠63,800","7004267000000000000♠26,700",--,7001900000000000000♠90–150,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,Active,2018,,First test launch 2018-02-06,[54][55][56]
GSLV Mk.I,India,ISRO,"7003500000000000000♠5,000","7003250000000000000♠2,500",--,--,7000600000000000000♠6,7000400000000000000♠4,7000200000000000000♠2,7000200000000000000♠2,Retired,2001,2010,,[57][58][59]
GSLV Mk.II,India,ISRO,"7003500000000000000♠5,000","7003270000000000000♠2,700",--,--,7000700000000000000♠7,7000600000000000000♠6,7000600000000000000♠6,7000600000000000000♠6,Active,2010,,,[57][60][59]
GSLV Mk.III (LVM3),India,ISRO,"7004100000000000000♠10,000","7003400000000000000♠4,000",--,--,7000300000000000000♠3,7000300000000000000♠3,7000300000000000000♠3,7000300000000000000♠3,Active,2014,,,[61][62]
H-I,Japan,Mitsubishi,"7003320000000000000♠3,200",,--,--,7000900000000000000♠9,7000900000000000000♠9,,,Retired,1986,1992,License-built version of the Thor-ELT,[63]
"H-II, IIA & IIB",Japan,Mitsubishi,"7004190000000000000♠19,000","7003800000000000000♠8,000",--,"7002112000000000000♠(190), 90, 112",7001280000000000000♠28,7001260000000000000♠26,,,Active,1994,,"Var.: A202, A2022, A2024, A204, B",[64]
Haas,Romania,ARCA,7002400000000000000♠400,,--,--,5000000000000000000♠0,,,,Devel.,2018,,Launch from balloon,[65][66]
J-I,Japan,IHI Corporation Nissan Motors,7002880000000000000♠880,--,--,--,7000100000000000000♠1,,,,Retired,1996,1996,Partial demonstration flight only,[citation needed]
R-12 & R-14 Kosmos,Soviet Union,Yuzhnoye Polyot,"7003150000000000000♠1,500",--,--,7001120000000000000♠12,7002610000000000000♠610,,,7002559000000000000♠559,Retired,1967,2010,"Var.: 1, 2, 3, 3M",[13][67][68]
Kaituozhe,China,CALT,,--,--,--,7000300000000000000♠3,,,5000000000000000000♠0,Active,2002,,"Var.: 1, 2",[citation needed]
Lambda 4S,Japan,Nissan ISAS,,--,--,--,7000500000000000000♠5,,,7000100000000000000♠1,Retired,1966,1970,,[citation needed]
Long March 1,China,CALT,7002740000000000000♠740,7002440000000000000♠440,--,--,7000600000000000000♠6,,,,Retired,1970,2002,"Var.: 1, 1D",[69][70][71]
DF-5 Long March 2-3-4,China,CALT,"7004120000000000000♠12,000","7003550000000000000♠5,500","7003330000000000000♠3,300",--,7002167000000000000♠167,7002158000000000000♠158,,,Active,1971,,"Var.: 2A, 2C, 2D, 2E, 3, 3A, 3B, 3C, 4, 4B Launcher of Shenzhou",[72]
Long March 5,China,CALT,"7004250000000000000♠25,000","7004140000000000000♠14,000","7003800000000000000♠8,000",--,7000200000000000000♠2,7000200000000000000♠2,7000100000000000000♠1,7000100000000000000♠1,Active,2016,,"Var.: 5, 5B",[73][74]
Long March 6,China,CALT,"7003150000000000000♠1,500",--,--,--,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,Active,2015,,,[75]
Long March 7,China,CALT,"7004200000000000000♠20,000",--,--,--,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,Active,2016,,,[76]
Minotaur I,USA,Orbital ATK,7002580000000000000♠580,--,--,--,7001110000000000000♠11,7001110000000000000♠11,7001110000000000000♠11,7001110000000000000♠11,Active,2000,,Derived from the Minuteman II,[77][78]
Minotaur IV & V,USA,Orbital ATK,"7003173500000000000♠1,735",7002640000000000000♠640,7002447000000000000♠447,7001500000000000000♠50,7000400000000000000♠4,7000400000000000000♠4,7000400000000000000♠4,7000400000000000000♠4,Active,2010,,"Also 2 suborbital launches (HTV-2a). Var.: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile",[77][79]
Mu 1-3-4,Japan,Nissan Motor IHI,7002770000000000000♠770,--,--,--,7001270000000000000♠27,,,,Retired,1966,1995,"Var.: 1, 3D, 4S, 3C, 3H, 3S, 3SII",[80]
Mu 5,Japan,Nissan Motor IHI,"7003180000000000000♠1,800",--,--,--,7000700000000000000♠7,,,7000600000000000000♠6,Retired,1997,2006,"Var.: M-V, M-V KM",[citation needed]
N1,Soviet Union,NPO Energia,"7004900000000000000♠90,000",--,"7004235000000000000♠23,500",--,7000400000000000000♠4,5000000000000000000♠0,5000000000000000000♠0,5000000000000000000♠0,Retired,1969,1972,Designed for Soviet Manned Lunar Mission,[81]
N-I & II,Japan,Mitsubishi,"7003200000000000000♠2,000",7002730000000000000♠730,--,--,7001150000000000000♠15,,,,Retired,1975,1987,Derived from the American Delta rocket,[82]
Naro,South Korea,Khrunichev KARI,7002100000000000000♠100,--,--,--,7000300000000000000♠3,7000200000000000000♠2,7000100000000000000♠1,7000100000000000000♠1,Retired,2009,2013,First stage uses the Russian RD-151 engine,[83]
Pegasus,USA,Orbital ATK,7002450000000000000♠450,--,--,--,7001430000000000000♠43,7001420000000000000♠42,7001410000000000000♠41,7001380000000000000♠38,Active,1990,,,[84]
UR-500 Proton,Soviet Union Russia,Khrunichev,"7004230000000000000♠23,000","7003692000000000000♠6,920","7003568000000000000♠5,680",7001650000000000000♠65 (Proton-M),7002399000000000000♠399,,7002353000000000000♠353,,Active,1965,,"Var.: K, M, Medium in development.",[85][86][87]
PSLV,India,ISRO,"7003380000000000000♠3,800","7003130000000000000♠1,300",--,--,7001450000000000000♠45,7001440000000000000♠44,7001430000000000000♠43,7001420000000000000♠42,Active,1993,,"Var.: CA, XL, HP, 3S Launched moon probe Chandrayaan I, Mars probe Mangalyaan I",[88][89]
UR-100N Rokot Strela,Russia,Eurockot Khrunichev,"7003210000000000000♠2,100",--,--,--,7001250000000000000♠25,7001230000000000000♠23,7001230000000000000♠23,,Active,1994,,23 launches of Rokot; 2 launches of Strela,[90][91][92][93]
Safir,Iran,ISA,7001500000000000000♠50,--,--,--,7000700000000000000♠7,7000500000000000000♠5,7000400000000000000♠4,7000400000000000000♠4,Active,2007,,,[94]
Saturn I & IB,USA,Chrysler Douglas,"7004186000000000000♠18,600",--,--,7001190000000000000♠19,7001130000000000000♠13,7001130000000000000♠13,7001130000000000000♠13,7001130000000000000♠13,Retired,1961,1975,Saturn 1 family also included 6 suborbital test launches,[95][96]
Saturn V,USA,Boeing North American Douglas,"7005118000000000000♠118,000",--,"7004470000000000000♠47,000",7002185000000000000♠185,7001130000000000000♠13,7001130000000000000♠13,7001130000000000000♠13,,Retired,1967,1973,"Var.: Apollo, Skylab",[95][97][98]
Scout,USA,US Air Force NASA,7002210000000000000♠210,--,--,--,7002125000000000000♠125,7002104000000000000♠104,,,Retired,1960,1994,"Var.: X1, X2, A, D, G",[99]
Shavit,Israel,IAI,7002225000000000000♠225,--,--,7001150000000000000♠15,7001100000000000000♠10,7000800000000000000♠8,7000800000000000000♠8,7000800000000000000♠8,Active,1988,,"Var.: Shavit, -1, -2",[100]
R-29 Shtil Volna,Russia,Makeyev,7002430000000000000♠430,--,--,--,7000800000000000000♠8,,,,Retired,1995,2006,"Var.: Volna, Shtil, 2.1, 2R, 3",[101]
R-7 Semyorka Soyuz,Soviet Union Russia,RSC Energia TsSKB-Progress,"7003820000000000000♠8,200","7003240000000000000♠2,400","7003120000000000000♠1,200",--,"7003185400000000000♠1,854",,,,Active,1957,,"Var.: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v",[102] [103]
Simorgh,Iran,ISA,7002350000000000000♠350,--,--,--,7000200000000000000♠2,5000000000000000000♠0,5000000000000000000♠0,5000000000000000000♠0,Active,2016,,,[104]
SLS,USA,Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne,"7004700000000000000♠70,000 to 130,000",--,--,--,5000000000000000000♠0,,,,Devel.,2020,,Expected 2020,[105][106]
SLV,India,ISRO,7001400000000000000♠40,--,--,--,7000400000000000000♠4,7000300000000000000♠3,7000300000000000000♠3,7000200000000000000♠2,Retired,1979,1983,Launched Rohini satellite series,[107]
SS-520,Japan,IHI Aerospace,7000400000000000000♠4,--,--,--,7000400000000000000♠4,7000300000000000000♠3,7000100000000000000♠1,7000100000000000000♠1,,2017,,"Two successful suborbital flights, one failed and one successful attempt to reach orbit. A test how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes.",[108]
Small Satellite Launch Vehicle,India,ISRO,7002500000000000000♠500,7002300000000000000♠300,--,--,5000000000000000000♠0,,,,Devel.,2019,,"As of December 2018, design of the rocket has been completed and first developmental flight is to take place before May 2019.",[109][110]
STS Space Shuttle,USA,Alliant Martin Marietta Rockwell,"7004244000000000000♠24,400","7003381000000000000♠3,810",--,7002450000000000000♠450,7002135000000000000♠135,7002134000000000000♠134,7002134000000000000♠134,7002133000000000000♠133,Retired,1981,2011,Orbiter mass: 68585 kg.,[111]
RT-2PM Start-1,Russia,MITT,7002532000000000000♠532,--,--,--,7000700000000000000♠7,7000600000000000000♠6,,,Active,1993,,,[112]
Taurus / Minotaur-C,USA,Orbital Sciences,"7003145000000000000♠1,450",--,--,--,7000900000000000000♠9,7000900000000000000♠9,7000600000000000000♠6,7000600000000000000♠6,Active,1989,,"Var.: 2110, 3110, 3210",[113]
Thor,USA,Douglas,"7003127000000000000♠1,270",--,7001380000000000000♠38,--,7002357000000000000♠357,,,,Retired,1957,1980,Launched Pioneer & Explorer probes,[35]
LGM-25C Titan I-II-III-IV,USA,Martin Marietta,"7004219000000000000♠21,900","7003577300000000000♠5,773","7003860000000000000♠8,600",7002350000000000000♠350,7002369000000000000♠369,,,,Retired,1959,2005,"Var.: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVB Gemini launcher",[114][115]
R-36 Tsyklon,Soviet Union Ukraine,Yuzhmash,"7003410000000000000♠4,100",--,--,--,7002259000000000000♠259,,,,Retired,1967,2009,"Var.: 1, 2, 3.",[116]
Unified Launch Vehicle,India,ISRO,"7004413000000000000♠41,300","7004163000000000000♠16,300",--,--,5000000000000000000♠0,,,,Devel.,,,"Var.: 6S12, 2S60, 2S138, 2S200",[117]
Unha-3,North Korea,KCST,7002200000000000000♠200,--,--,--,7000400000000000000♠4,7000300000000000000♠3,7000200000000000000♠2,,Active,2006,,Var.: Paektusan based on Taepodong-1 missile; Unha based on Taepodong-2 missile.,[118][119]
Vanguard,USA,Martin,7001230000000000000♠23,--,--,--,7001120000000000000♠12,,7000300000000000000♠3,,Retired,1957,1959,,[120]
Vega,Europe,Avio,"7003230000000000000♠2,300",--,--,7001230000000000000♠23,7001130000000000000♠13,7001130000000000000♠13,7001130000000000000♠13,7001130000000000000♠13,Revis.,2012,,Vega-C and Vega-E in development.,[121]
VLM,Brazil,CTA,7002380000000000000♠380,--,--,--,5000000000000000000♠0,,,,Devel.,2019,,,[122]
Vulcan,USA,ULA,"17,800–34,900","7,400–16,300",--,7001990000000000000♠99,5000000000000000000♠0,,,,Devel.,2021,,,[123][124][125][126]
Zenit,Soviet Union Ukraine Russia,Yuzhnoye,"7004137400000000000♠13,740","7003616000000000000♠6,160","7003409800000000000♠4,098",--,7001820000000000000♠82,,7001710000000000000♠71,7001690000000000000♠69,Active,1985,,"Var.: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF",[127]
