Vehicle,Origin,Manufacturer,Mass to … (kg),Launches (+ suborbital),Date of flight
Long March 2E,China,CALT,"7003920000000000000♠9,200[78]",,,7000700000000000000♠7[78],1990,1995
Long March 3,China,CALT,"7003500000000000000♠5,000[80]",,,7001140000000000000♠14[80],1984,2000
Long March 3B,China,CALT,"7004112000000000000♠11,200[79]","7003510000000000000♠5,100","7003570000000000000♠5,700 to SSO",7001120000000000000♠12[80],1996,2012
Long March 4A,China,CALT,"7003400000000000000♠4,000",,,7000200000000000000♠2[81],1988,1990
M-V,Japan,Nissan Motors[231] (1997–2000) IHI Aerospace[38] (2000-2006),"7003185000000000000♠1,850[236]",,,7000700000000000000♠7,1997,2006
Molniya,Soviet Union,RSC Energia,"7003180000000000000♠1,800[241]",,,7001400000000000000♠40[242],1960,1967
Molniya-M,Soviet Union Russia,RSC Energia,"7003240000000000000♠2,400[243]",,,7002280000000000000♠280[244],1965,2010
Mu-3C,Japan,Nissan Motors[231],7002195000000000000♠195[236],,,7000400000000000000♠4,1974,1979
Mu-3H,Japan,Nissan Motors[231],7002300000000000000♠300[236],,,7000300000000000000♠3,1977,1978
Mu-3S,Japan,Nissan Motors[231],7002300000000000000♠300[236],,,7000400000000000000♠4,1980,1984
Mu-3SII,Japan,Nissan Motors[231],7002770000000000000♠770[236],,,7000800000000000000♠8,1985,1995
Mu-4S,Japan,Nissan Motors[231],7002180000000000000♠180[236],,,7000400000000000000♠4,1971,1972
N1,Soviet Union,NPO Energia,"7004950000000000000♠95,000[note 10] [245][246][247]",,,7000400000000000000♠4[248] (never reached orbit),1969,1972
N-I,Japan United States,Mitsubishi,"7003120000000000000♠1,200[249]",,,7000700000000000000♠7,1975,1982
N-II,Japan United States,Mitsubishi,"7003200000000000000♠2,000[250]",,,7000800000000000000♠8,1981,1987
Naro-1,South Korea Russia,KARI/Khrunichev,7002100000000000000♠100[251],,,7000300000000000000♠3,2009,2013
Paektusan,North Korea,KCST,7002700000000000000♠700[252],,,5000000000000000000♠0 (+1),1998,1998
Polyot,Soviet Union,RSC Energia,"7003140000000000000♠1,400",,,7000200000000000000♠2,1963,1964
Proton-K,Soviet Union Russia,Khrunichev,"7004197600000000000♠19,760[253]","7003493000000000000♠4,930[254]",,7002311000000000000♠311[255],1965,2012
PSLV-G,India,ISRO,"7003320000000000000♠3,200[123]","7003105000000000000♠1,050","7003160000000000000♠1,600 to SSO",7001120000000000000♠12[123],1993,2016[256]
Saturn I,United States,Chrysler (S-I) Douglas (S-IV),"7003900000000000000♠9,000[257]",,,7001100000000000000♠10[258],1961,1965[258]
Saturn IB,United States,Chrysler (S-IB) Douglas (S-IVB),"7004186000000000000♠18,600[259]",,,7000900000000000000♠9[260],1966,1975
Saturn V,United States,Boeing (S-IC) North American (S-II) Douglas (S-IVB),"7005140000000000000♠140,000[261][262]",,"7004470000000000000♠47,000 to TLI[263]",7001130000000000000♠13[264][265] [note 11],1967,1973
Scout,United States,US Air Force/NASA,7002174000000000000♠174[266],,,7002125000000000000♠125,1961,1994
Shtil',Russia,Makeyev,280–420[267],,,7000200000000000000♠2[268],1998,2006
SLV,India,ISRO,7001400000000000000♠40[269],,,7000400000000000000♠4[269],1979,1983[269]
Soyuz,Soviet Union,RSC Energia,"7003645000000000000♠6,450",,,7001310000000000000♠31[270],1966,1976
Soyuz-L,Soviet Union,RSC Energia,"7003550000000000000♠5,500",,,7000300000000000000♠3[271],1970,1971
Soyuz-M,Soviet Union,RSC Energia,"7003660000000000000♠6,600",,,7000800000000000000♠8[272],1971,1976
Soyuz-U,Soviet Union Russia,TsSKB-Progress,"7003665000000000000♠6,650 from Baikonour[273] 7003615000000000000♠6,150 from Plesetsk[273]",,,7002786000000000000♠786[274][142][139],1973,2017
Soyuz-U2,Soviet Union Russia,TsSKB-Progress,"7003705000000000000♠7,050",,,7001720000000000000♠72[275],1982,1995
Space Shuttle,United States,ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),"7004244000000000000♠24,400[note 7]","7003494400000000000♠4,944 with IUS[276] 7003120000000000000♠1,200 with PAM-D[277]","7003355000000000000♠3,550 to escape with IUS[276]",7002135000000000000♠135[278],1981,2011
Sputnik 8K71PS,Soviet Union,RSC Energia,7002500000000000000♠500[279],,,7000200000000000000♠2,1957,1957
Sputnik 8A91,Soviet Union,RSC Energia,"7003132700000000000♠1,327",,,7000200000000000000♠2,1958,1958
Start-1,Russia,MITT,7002532000000000000♠532,,7002350000000000000♠350 to SSO[280],7000500000000000000♠5[281],1993,2006
Strela,Russia,Khrunichev,"7003140000000000000♠1,400[282]",,,7000300000000000000♠3[283],2003,2014
Titan II GLV,United States,Martin Marietta,"7003360000000000000♠3,600[284]",,,7001110000000000000♠11 (+1),1964,1966
Titan II(23)G,United States,Martin Marietta,"7003360000000000000♠3,600[285]",,,7001130000000000000♠13,1988,2003
Titan IIIA,United States,Martin Marietta,"7003310000000000000♠3,100[286]",,,7000400000000000000♠4,1964,1965
Titan IIIB,United States,Martin Marietta,"7003300000000000000♠3,000[287]",,,7001700000000000000♠70,1966,1987
Titan IIIC,United States,Martin Marietta,"7004131000000000000♠13,100[288]",,,7001360000000000000♠36,1965,1982
Titan IIID,United States,Martin Marietta,"7004123000000000000♠12,300[289]",,,7001220000000000000♠22,1971,1982
Titan IIIE,United States,Martin Marietta,"7004154000000000000♠15,400[290]",,,7000700000000000000♠7,1974,1977
Titan 34D,United States,Martin Marietta,"7003451500000000000♠4,515[291]",,,7001150000000000000♠15,1982,1989
Titan IVA,United States,Martin Marietta,"7004171100000000000♠17,110[292]","7003494400000000000♠4,944 with IUS","7004140900000000000♠14,090 to SSO[292] 7003453600000000000♠4,536 to GSO with Centaur 7003355000000000000♠3,550 to escape with IUS",7001220000000000000♠22[293],1989,1998
Titan IVB,United States,Lockheed Martin,"7004216820000000000♠21,682[294]","7003576100000000000♠5,761[294] (9,000 with upper stage)",,7001170000000000000♠17[293],1997,2005
Tsyklon-2A,Soviet Union,Yuzhmash,"7003335000000000000♠3,350[295]",,,7000800000000000000♠8[296],1967,1969
Tsyklon-2,Soviet Union Ukraine,Yuzhmash,"7003282000000000000♠2,820[297]",,,7002106000000000000♠106[298],1969,2006[298]
Tsyklon-3,Soviet Union Ukraine,Yuzhmash,"7003192000000000000♠1,920[299]",,,7002122000000000000♠122[300],1977,2009[300]
Vanguard,United States,Martin,7000900000000000000♠9[301],,,7001110000000000000♠11 (+1),1957,1959
VLS-1,Brazil,"AEB, IAE",7002380000000000000♠380[302],,,7000200000000000000♠2[note 12] (never reached orbit),1997,2003
Volna,Russia,Makeyev,7002100000000000000♠100[303],,,7000100000000000000♠1 (+5)[268],1995[note 13],2005[268]
Voskhod,Soviet Union,RSC Energia,"7003600000000000000♠6,000[304]",,,7002306000000000000♠306,1963,1976
Vostok-L,Soviet Union,RSC Energia,,,7002390000000000000♠390 to TLI[305],7000400000000000000♠4,1960,1960
Vostok-K,Soviet Union,RSC Energia,"7003246000000000000♠2,460[306]",,,7001160000000000000♠16,1960,1964
Vostok-2,Soviet Union,RSC Energia,"7003473000000000000♠4,730[306]",,,7001450000000000000♠45,1962,1967
Vostok-2M,Soviet Union,RSC Energia,"7003130000000000000♠1,300[307]",,,7001930000000000000♠93,1964,1991
Soyuz/Vostok,Soviet Union,RSC Energia,"7003600000000000000♠6,000[308]",,,7000200000000000000♠2,1965,1966
Zenit-2,Soviet Union Ukraine,Yuzhnoye,"7004137400000000000♠13,740[309]",,,7001360000000000000♠36[310],1985,2004[311]
Zenit-2M / 2SLB,Ukraine,Yuzhnoye,"7004139200000000000♠13,920[309]",,,7000200000000000000♠2[310],2007,2011
